$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.17 00:00:08
$Filename; CO2FT_A_H_Gas_20211217.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; H_Gas, %RH; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, %RH; Float
$8; Maximum; %RH; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	H_Gas	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	%RH	Flags	Cnt	Sec	MR	%RH	%RH	Units	Deg	Deg	Units	Flags
2021.12.17 01:54:00	19.694717	0	60	60	1	19.685000	19.758000	0.000460	NaN	NaN	19694.716667	0
2021.12.17 01:55:00	19.688567	0	60	60	1	19.685000	19.722000	0.000099	NaN	NaN	19688.566667	0
2021.12.17 01:56:00	19.690000	0	60	60	1	19.685000	19.722000	0.000128	NaN	NaN	19690.000000	0
2021.12.17 01:57:00	19.693317	0	60	60	1	19.685000	19.757000	0.000261	NaN	NaN	19693.316667	9
2021.12.17 01:58:00	19.687150	0	60	60	1	19.684000	19.721000	0.000061	NaN	NaN	19687.150000	0
2021.12.17 01:59:00	19.685783	0	60	59	1	19.684000	19.720000	0.000020	NaN	NaN	19685.783333	9
2021.12.17 02:00:00	19.686250	0	60	60	1	19.684000	19.720000	0.000040	NaN	NaN	19686.250000	9
2021.12.17 02:01:00	19.686983	0	60	60	1	19.684000	19.721000	0.000062	NaN	NaN	19686.983333	0
2021.12.17 02:02:00	19.689933	0	60	60	1	19.684000	19.756000	0.000235	NaN	NaN	19689.933333	0
2021.12.17 02:03:00	19.685750	0	60	60	1	19.684000	19.721000	0.000022	NaN	NaN	19685.750000	9
2021.12.17 02:04:00	19.685533	0	60	60	1	19.684000	19.720000	0.000021	NaN	NaN	19685.533333	9
2021.12.17 02:05:00	19.686233	0	60	60	1	19.684000	19.721000	0.000041	NaN	NaN	19686.233333	0
2021.12.17 02:06:00	19.685200	0	60	60	1	19.684000	19.687000	0.000000	NaN	NaN	19685.200000	9
2021.12.17 02:07:00	19.685817	0	60	60	1	19.684000	19.721000	0.000022	NaN	NaN	19685.816667	9
2021.12.17 02:08:00	19.685583	0	60	60	1	19.684000	19.687000	0.000001	NaN	NaN	19685.583333	0
2021.12.17 02:09:00	19.684800	0	60	60	1	19.650000	19.687000	0.000021	NaN	NaN	19684.800000	0
2021.12.17 02:10:00	19.685333	0	60	60	1	19.684000	19.687000	0.000001	NaN	NaN	19685.333333	0
2021.12.17 02:11:00	19.685600	0	60	60	1	19.685000	19.687000	0.000001	NaN	NaN	19685.600000	9
2021.12.17 02:12:00	19.684400	0	60	60	1	19.649000	19.687000	0.000043	NaN	NaN	19684.400000	0
2021.12.17 02:13:00	19.685367	0	60	60	1	19.684000	19.687000	0.000000	NaN	NaN	19685.366667	0
2021.12.17 02:14:00	19.685683	0	60	60	1	19.684000	19.721000	0.000022	NaN	NaN	19685.683333	0
2021.12.17 02:15:00	19.685117	0	60	60	1	19.684000	19.686000	0.000000	NaN	NaN	19685.116667	0
2021.12.17 02:16:00	19.683383	0	60	60	1	19.614000	19.686000	0.000105	NaN	NaN	19683.383333	9
2021.12.17 02:17:00	19.685933	0	60	60	1	19.685000	19.720000	0.000020	NaN	NaN	19685.933333	0
