$Timestamp	PCO2_Corr	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	µatm	Flags	Cnt	Sec	MR	µatm	µatm	Units	Deg	Deg	Units	Flags
2021.12.08 03:02:00	439.297049	0	61	61	1	438.520000	440.120000	0.168698	NaN	NaN	43929.704918	9
2021.12.08 03:03:00	439.113559	0	59	59	1	438.570000	439.430000	0.052144	NaN	NaN	43911.355932	0
2021.12.08 03:04:00	438.610667	0	60	60	1	437.890000	439.250000	0.066149	NaN	NaN	43861.066667	0
2021.12.08 03:05:00	438.018689	0	61	62	1	437.400000	438.790000	0.076252	NaN	NaN	43801.868852	9
2021.12.08 03:06:00	437.896780	0	59	58	1	436.790000	438.730000	0.244005	NaN	NaN	43789.677966	0
2021.12.08 03:07:00	438.296667	0	60	60	1	437.780000	439.070000	0.137263	NaN	NaN	43829.666667	0
2021.12.08 03:08:00	439.888167	0	60	60	1	438.140000	441.850000	1.688910	NaN	NaN	43988.816667	0
2021.12.08 03:09:00	444.248833	0	60	61	1	442.220000	446.320000	1.068346	NaN	NaN	44424.883333	9
2021.12.08 03:10:00	447.624333	0	60	60	1	445.840000	448.960000	0.747462	NaN	NaN	44762.433333	0
2021.12.08 03:11:00	450.592167	0	60	61	1	449.180000	452.060000	0.897414	NaN	NaN	45059.216667	0
2021.12.08 03:12:00	453.009333	0	60	59	1	452.040000	454.540000	0.499315	NaN	NaN	45300.933333	9
2021.12.08 03:13:00	455.256102	0	59	58	1	453.550000	456.530000	0.757176	NaN	NaN	45525.610169	0
2021.12.08 03:14:00	457.880500	0	60	60	1	456.520000	459.370000	0.557923	NaN	NaN	45788.050000	9
2021.12.08 03:15:00	459.431333	0	60	60	1	458.840000	460.580000	0.124927	NaN	NaN	45943.133333	0
2021.12.08 03:16:00	461.208500	0	60	60	1	460.190000	462.090000	0.252199	NaN	NaN	46120.850000	9
2021.12.08 03:17:00	462.503667	0	60	61	1	461.360000	463.430000	0.250112	NaN	NaN	46250.366667	9
2021.12.08 03:18:00	463.398852	0	61	61	1	462.380000	464.110000	0.163190	NaN	NaN	46339.885246	0
2021.12.08 03:19:00	464.319667	0	60	60	1	463.840000	465.220000	0.094349	NaN	NaN	46431.966667	0
2021.12.08 03:20:00	465.148644	0	59	59	1	464.470000	465.850000	0.135398	NaN	NaN	46514.864407	9
2021.12.08 03:21:00	465.357213	0	61	61	1	464.130000	465.920000	0.213660	NaN	NaN	46535.721311	9
2021.12.08 03:22:00	465.141695	0	59	59	1	464.580000	465.790000	0.081104	NaN	NaN	46514.169492	9
2021.12.08 03:23:00	464.689833	0	60	60	1	463.940000	465.230000	0.098469	NaN	NaN	46468.983333	9
2021.12.08 03:24:00	464.117833	0	60	59	1	463.300000	464.980000	0.144275	NaN	NaN	46411.783333	0
2021.12.08 03:25:00	463.222667	0	60	60	1	462.460000	463.510000	0.079769	NaN	NaN	46322.266667	0
2021.12.08 03:26:00	462.491475	0	61	61	1	461.800000	463.460000	0.132796	NaN	NaN	46249.147541	9
2021.12.08 03:27:00	461.948833	0	60	60	1	461.450000	462.800000	0.123095	NaN	NaN	46194.883333	9
